,highly_variable
AL450998.2,False
SPEN,False
ZBTB17,False
SRARP,False
AL355994.3,False
HSPB7,False
CLCNKA,False
CLCNKB,False
FAM131C,False
EPHA2,False
AL451042.2,False
AL451042.1,False
ARHGEF19-AS1,False
ARHGEF19,False
AL109627.1,False
CPLANE2,False
FBXO42,False
SZRD1,False
SPATA21,False
NECAP2,False
LINC01772,False
AL137802.2,False
AL137802.1,False
LINC01783,False
NBPF1,False
AL137798.1,False
AL137798.2,False
AL021920.1,False
AL021920.3,False
CROCC,False
BX284668.1,False
BX284668.2,False
BX284668.5,False
BX284668.6,False
MFAP2,False
AL049569.2,False
AL049569.1,False
ATP13A2,False
SDHB,False
PADI2,False
LINC02783,False
AL590644.1,False
PADI1,False
PADI3,False
PADI4,True
PADI6,False
RCC2-AS1,False
RCC2,False
ARHGEF10L,False
LINC02810,False
ACTL8,False
AL357509.1,False
LINC01654,False
IGSF21,False
IGSF21-AS1,False
AL591896.1,False
KLHDC7A,False
PAX7,False
TAS1R2,False
ALDH4A1,False
IFFO2,False
AL137127.1,False
UBR4,False
EMC1-AS1,False
EMC1,False
MRTO4,False
AKR7A3,False
AKR7A2,False
SLC66A1,False
CAPZB,False
MICOS10,False
AL031727.2,False
NBL1,False
HTR6,False
TMCO4,False
RNF186,False
AL391883.1,False
OTUD3,False
PLA2G2E,False
PLA2G2A,False
PLA2G5,False
PLA2G2D,False
PLA2G2F,False
Z98257.1,False
PLA2G2C,False
UBXN10-AS1,False
UBXN10,False
LINC01757,False
Z98257.2,False
VWA5B1,False
AL020998.1,False
LINC01141,False
AL139254.1,False
AL139254.2,False
AL139254.3,False
CAMK2N1,False
MUL1,False
FAM43B,False
CDA,False
PINK1,False
PINK1-AS,False
DDOST,False
KIF17,False
SH2D5,False
AL663074.1,False
HP1BP3,False
EIF4G3,False
AL031005.2,False
ECE1,False
AL031005.1,False
AL031728.1,False
AL592309.2,False
NBPF3,False
ALPL,False
LINC02596,False
RAP1GAP,False
USP48,False
LDLRAD2,False
HSPG2,False
CELA3B,False
CELA3A,False
LINC01635,False
LINC00339,False
CDC42,False
CDC42-AS1,False
CDC42-IT1,False
WNT4,False
AL445253.1,False
ZBTB40,False
ZBTB40-IT1,False
EPHA8,False
C1QA,False
C1QC,False
C1QB,True
EPHB2,True
AL512444.1,False
LACTBL1,False
TEX46,False
KDM1A,False
AL031428.1,False
LUZP1,False
HTR1D,False
LINC01355,False
AL109936.6,False
HNRNPR,False
ZNF436,False
ZNF436-AS1,False
AL109936.2,False
TCEA3,False
ASAP3,False
E2F2,False
AL021154.1,False
ID3,False
AL450043.1,False
MDS2,True
RPL11,False
ELOA-AS1,False
ELOA,False
PITHD1,False
LYPLA2,False
GALE,False
HMGCL,False
FUCA1,False
CNR2,True
AL590609.3,False
PNRC2,False
SRSF10,False
AL591178.1,False
MYOM3,False
AL591178.2,False
IL22RA1,False
IFNLR1,False
LINC02800,False
AL138902.1,False
GRHL3,False
STPG1,False
NIPAL3,False
RCAN3AS,False
RCAN3,False
NCMAP-DT,False
NCMAP,False
SRRM1,False
AL445648.1,False
CLIC4,False
RUNX3,False
AL445471.1,False
AL445471.2,False
LINC02793,False
AL050344.1,False
AL031432.1,False
SYF2,False
AL031432.4,False
AL031432.5,True
RSRP1,False
AL031432.3,False
RHD,True
TMEM50A,False
RHCE,False
MACO1,False
LDLRAP1,False
AL606491.1,False
MAN1C1,False
AL031280.1,False
SELENON,False
AL020996.1,False
MTFR1L,False
AL020996.3,False
AUNIP,False
AL033528.2,False
PAQR7,False
STMN1,True
PAFAH2,False
EXTL1,False
SLC30A2,False
AL391650.2,False
TRIM63,False
PDIK1L,False
FAM110D,False
C1orf232,False
AL391650.1,False
ZNF593,False
CNKSR1,False
CATSPER4,False
CEP85,False
SH3BGRL3,False
UBXN11,False
CD52,False
CRYBG2,False
ZNF683,True
LIN28A,False
DHDDS,False
AL513365.2,False
HMGN2,False
RPS6KA1,False
AL512408.1,False
ARID1A,False
PIGV,False
ZDHHC18,False
SFN,False
GPN2,False
AL034380.1,False
GPATCH3,False
NUDC,False
NR0B2,False
