,highly_variable
ZBTB18,False
AL590483.1,False
AL590483.4,False
AL590483.2,False
AL358177.1,False
C1orf100,False
AL645465.1,False
ADSS,False
CATSPERE,True
DESI2,False
AL451007.3,False
AL451007.2,False
BX323046.2,False
COX20,False
HNRNPU,False
BX323046.1,False
AL356512.1,False
EFCAB2,False
KIF26B,False
KIF26B-AS1,False
AC104462.2,False
AC104462.1,False
SMYD3,True
AC118555.1,False
AC092801.1,False
SMYD3-IT1,False
LINC01743,False
TFB2M,False
CNST,False
AL591623.1,False
AL591848.3,False
AL591848.2,False
SCCPDH,False
AL591848.4,False
LINC01341,False
AHCTF1,False
ZNF695,False
ZNF670,False
ZNF669,False
AL627095.2,False
C1orf229,False
ZNF124,False
AL390728.6,False
AL390728.5,False
ZNF496,False
AC104335.1,False
AC104335.2,False
NLRP3,False
OR2B11,False
GCSAML,True
OR2C3,False
GCSAML-AS1,False
AL606804.1,False
OR2G2,False
OR2G3,False
AL390860.1,False
OR13G1,False
OR6F1,False
OR14A2,False
OR14K1,False
OR1C1,False
OR14A16,False
OR11L1,False
TRIM58,False
OR2W3,False
OR2T8,False
OR2AJ1,False
OR2L8,False
OR2AK2,False
OR2L5,False
OR2L2,False
OR2L3,False
OR2L13,False
OR2M5,False
OR2M2,False
OR2M3,False
OR2M4,False
OR2T33,False
OR2T12,False
OR2M7,False
OR14C36,False
OR2T4,False
OR2T6,False
OR2T1,False
OR2T2,False
OR2T3,False
AC138089.1,False
OR2T5,False
OR2G6,False
AC098483.1,False
OR2T29,False
OR2T34,False
OR2T10,False
OR2T11,False
OR2T35,False
OR2T27,False
OR14I1,False
LYPD8,False
SH3BP5L,False
ZNF672,False
ZNF692,False
AL672291.1,False
PGBD2,False
FAM110C,False
AC079779.1,False
SH3YL1,False
ACP1,False
ALKAL2,False
AC079779.2,False
AC079779.3,False
AC079779.4,False
LINC01865,False
AC105393.2,False
AC105393.1,False
LINC01874,False
AC093326.2,False
LINC01875,False
AC093326.1,False
TMEM18,False
AC092159.2,False
AC092159.3,False
AC092159.1,False
AC116609.3,False
AC116609.2,False
AC116609.1,False
LINC01115,False
LINC01939,False
AC113607.1,False
SNTG2-AS1,False
SNTG2,True
AC114808.1,False
AC114808.2,False
AC108462.1,False
AC105450.1,False
TPO,False
AC141930.1,False
AC141930.2,False
AC144450.1,False
PXDN,False
MYT1L,False
AC093390.2,False
AC093390.1,False
MYT1L-AS1,False
AC018685.2,False
AC018685.3,False
AC011995.2,False
AC018685.1,False
AC011995.1,False
LINC01250,True
AC019118.2,False
AC019118.1,False
EIPR1,False
EIPR1-IT1,False
TRAPPC12,False
TRAPPC12-AS1,False
AC114810.1,False
ADI1,False
AC231981.1,False
AC108488.1,False
RNASEH1,False
RNASEH1-AS1,False
AC108488.3,False
RPS7,False
COLEC11,False
AC010907.2,False
ALLC,False
AC010907.1,False
DCDC2C,False
LINC01304,False
AC012445.1,False
LINC01249,False
AC107057.1,False
LINC01248,False
AC108025.1,False
SOX11,False
AC010729.2,False
AC010729.1,False
LINC01810,False
SILC1,False
AC017053.1,False
LINC01247,False
LINC01824,False
MIR7515HG,False
AC097517.1,False
LINC00487,False
NRIR,False
CMPK2,False
RSAD2,False
AC017076.1,False
RNF144A-AS1,False
RNF144A,False
AC068481.1,False
AC010904.2,False
AC013460.1,False
AC092580.4,False
AC092580.2,False
LINC01871,True
AC007463.1,False
LINC00298,True
AC007463.2,False
LINC00299,True
U91324.1,True
LINC01814,False
AC092617.1,False
AC011747.1,False
ID2-AS1,False
ID2,True
KIDINS220,False
MBOAT2,False
AC093904.2,False
AC093904.4,False
AC093904.3,False
AC093904.1,False
ASAP2,False
ITGB1BP1,False
CPSF3,False
IAH1,False
ADAM17,False
AC080162.1,False
AC073195.1,False
YWHAQ,False
AC082651.1,False
AC082651.4,False
AC082651.3,False
TAF1B,False
AC010969.2,False
AC010969.3,False
GRHL1,False
AC010969.1,False
AC104794.4,False
AC104794.3,False
KLF11,False
AC104794.5,False
CYS1,False
AC104794.2,False
RRM2,True
AC007240.3,False
HPCAL1,False
ODC1,False
ODC1-DT,False
NOL10,False
AC007314.1,False
RN7SL832P,True
AC092687.2,False
ATP6V1C2,False
AC092687.3,False
PDIA6,False
LINC01954,False
AC092687.1,False
KCNF1,False
AC062028.1,False
C2orf50,False
SLC66A3,False
ROCK2,False
AC099344.1,False
AC099344.2,False
LINC00570,False
AC099344.3,False
E2F6,False
GREB1,False
NTSR2,False
AC106875.2,False
LPIN1,False
AC106875.1,False
AC012456.1,False
AC012456.2,False
MIR3681HG,True
AC096559.1,False
AC009486.2,False
AC009486.1,False
TRIB2,False
AC064875.1,False
AC093912.1,False
AC073062.1,False
LINC00276,False
AC016730.1,False
AC011897.1,False
LRATD1,False
AC068286.2,True
AC068286.1,False
NBAS,False
AC008278.2,False
DDX1,False
AC008278.1,False
LINC01804,False
AC113608.2,False
MYCNOS,False
MYCNUT,False
MYCN,False
AC010145.1,False
GACAT3,False
AC130710.1,False
AC010745.1,False
AC010745.2,False
AC010745.3,False
AC010745.5,False
AC010745.4,False
AC010880.1,False
AC104623.1,False
FAM49A,True
AC008164.1,False
LINC01866,False
RAD51AP2,True
VSNL1,False
SMC6,True
GEN1,False
MSGN1,False
KCNS3,False
AC079148.3,False
AC079148.2,False
AC079148.1,False
RDH14,False
NT5C1B,False
AC106053.1,True
AC130814.1,False
LINC01376,True
OSR1,False
AC010096.1,False
LINC01808,False
AC019055.1,False
LINC00954,False
TTC32,False
AC013400.1,False
WDR35,True
AC079145.1,False
MATN3,False
LAPTM4A,False
LAPTM4A-DT,False
AC098828.2,False
SDC1,False
PUM2,False
RHOB,False
AC023137.1,False
AC012065.1,False
HS1BP3,False
AC012065.3,False
HS1BP3-IT1,False
GDF7,True
AC012065.4,False
LDAH,False
LINC02850,False
AC115619.1,False
APOB,False
AC010872.2,False
TDRD15,False
AC018742.1,True
AC011752.1,False
AC009411.2,False
AC009411.1,False
LINC01822,False
AC096570.1,False
AC096570.2,False
LINC01884,False
AC018467.1,False
AC012506.1,False
AC012506.3,False
AC012506.2,False
AC012506.4,False
KLHL29,True
AC011239.1,False
AC009242.1,False
ATAD2B,False
UBXN2A,False
MFSD2B,False
WDCP,False
FKBP1B,False
SF3B6,False
FAM228B,False
TP53I3,False
PFN4,False
AC008073.2,False
FAM228A,False
AC008073.1,False
ITSN2,False
AC009228.1,False
AC093798.1,False
NCOA1,False
PTRHD1,False
CENPO,False
ADCY3,False
AC012073.1,False
DNAJC27,False
DNAJC27-AS1,False
AC013267.2,False
EFR3B,False
POMC,False
LINC01381,False
DNMT3A,False
AC012074.1,False
DTNB,True
AC104699.1,False
ASXL2,False
KIF3C,False
RAB10,False
GAREM2,False
HADHA,False
HADHB,False
AC010896.1,False
ADGRF3,False
SELENOI,False
DRC1,False
OTOF,True
FAM166C,False
CIB4,False
AC015977.2,False
KCNK3,False
SLC35F6,False
CENPA,False
DPYSL5,False
AC013472.2,False
MAPRE3,False
AC013472.1,False
TMEM214,False
AGBL5,False
AGBL5-AS1,False
AC013472.3,False
AGBL5-IT1,False
AC013403.2,False
OST4,False
EMILIN1,False
KHK,False
CGREF1,False
ABHD1,False
PREB,False
PRR30,False
TCF23,False
SLC5A6,False
ATRAID,False
CAD,False
SLC30A3,False
DNAJC5G,False
TRIM54,False
UCN,True
MPV17,False
GTF3C2,False
GTF3C2-AS1,False
AC074117.1,False
EIF2B4,False
SNX17,False
ZNF513,False
PPM1G,False
NRBP1,False
KRTCAP3,False
IFT172,False
FNDC4,False
GCKR,False
C2orf16,False
ZNF512,False
CCDC121,False
GPN1,False
SUPT7L,False
SLC4A1AP,False
LINC01460,False
MRPL33,False
RBKS,False
BABAM2,False
AC093690.1,False
AC104695.2,False
FOSL2,False
AC104695.4,False
AC104695.3,False
AC104695.1,False
PLB1,False
AC074011.1,False
AC092164.1,False
PPP1CB,False
SPDYA,False
AC097724.1,False
TRMT61B,False
WDR43,False
TOGARAM2,True
PCARE,False
AC105398.1,False
CLIP4,False
ALK,False
AC074096.1,False
AC016907.2,False
AC106870.2,False
AC106870.1,False
YPEL5,False
LBH,False
AC109642.1,False
LINC01936,False
LCLAT1,True
CAPN13,False
AC009301.1,False
GALNT14,True
AC009305.1,False
CAPN14,False
EHD3,False
XDH,False
SRD5A2,False
AL133247.1,False
LINC01946,False
AL121652.1,False
MEMO1,False
DPY30,False
AL121655.1,False
SPAST,False
AL121658.1,False
SLC30A6,False
NLRC4,False
YIPF4,False
AL133245.1,False
BIRC6,False
BIRC6-AS1,True
AL133243.2,False
AL133243.3,False
AL133243.1,False
TTC27,False
LINC00486,False
AL133244.2,False
LTBP1,True
AC019127.1,False
RASGRP3,True
AC020594.1,False
FAM98A,False
AC017050.1,False
LINC01320,True
LINC01318,False
AC008170.1,False
AC073218.1,False
AC012593.1,False
AC079352.1,True
AC019064.1,False
CRIM1-DT,False
CRIM1,False
AC007378.1,False
FEZ2,False
VIT,False
STRN,False
HEATR5B,False
GPATCH11,False
EIF2AK2,False
SULT6B1,False
CEBPZOS,False
CEBPZ,False
AC007390.2,False
NDUFAF7,False
PRKD3,False
AC007391.1,False
AC007391.2,False
QPCT,False
AC007391.3,False
AC006369.1,False
CDC42EP3,False
AC006369.2,False
LINC00211,False
RMDN2,False
RMDN2-AS1,False
CYP1B1,False
CYP1B1-AS1,False
AC009229.2,False
AC009229.3,False
AC009229.1,False
ATL2,False
LINC02613,False
AC016995.1,False
LINC01883,False
HNRNPLL,False
AC011247.1,False
GALM,True
AC074366.1,False
SRSF7,False
GEMIN6,False
DHX57,False
AC018693.1,True
MORN2,False
ARHGEF33,False
AC019171.1,False
SOS1,False
SOS1-IT1,False
CDKL4,True
MAP4K3,False
AC007684.2,False
MAP4K3-DT,True
TMEM178A,False
THUMPD2,False
SLC8A1-AS1,False
SLC8A1,False
AC007877.1,False
AC007317.1,False
AC007317.2,False
LINC01794,False
AC009413.2,False
LINC01913,False
LINC01914,False
C2orf91,False
AC013480.1,False
PKDCC,False
AC083949.1,False
EML4,False
COX7A2L,False
KCNG3,True
MTA3,False
OXER1,False
HAAO,False
AC016735.1,False
LINC01819,False
LINC02590,False
LINC02580,False
AC010883.2,False
AC010883.3,False
ZFP36L2,False
LINC01126,False
AC010883.1,False
THADA,False
PLEKHH2,False
C1GALT1C1L,False
DYNC2LI1,False
ABCG5,False
ABCG8,False
LRPPRC,False
AC019129.2,False
PPM1B,False
SLC3A1,False
PREPL,False
CAMKMT,True
LINC01833,False
SIX3-AS1,False
SIX3,False
AC012354.1,False
SIX2,False
AC093702.1,False
LINC01121,False
AC093833.1,False
AC009236.2,False
AC009236.1,False
SRBD1,False
PRKCE,False
U51244.1,False
AC017006.2,False
AC017006.1,False
EPAS1,True
LINC01820,False
LINC02583,False
TMEM247,False
ATP6V1E2,False
AC018682.2,False
RHOQ,False
AC018682.1,False
PIGF,False
CRIPT,False
LINC01118,False
SOCS5,False
LINC01119,False
AC016722.1,False
AC016722.2,False
MCFD2,False
TTC7A,False
AC093732.2,False
AC093732.1,False
STPG4,False
AC073283.1,True
CALM2,False
EPCAM-DT,False
AC073283.2,False
EPCAM,False
MSH2,False
KCNK12,False
AC138655.1,False
MSH6,False
FBXO11,False
AC079807.1,True
AC092650.1,False
FOXN2,False
AC093635.1,False
PPP1R21,False
STON1,False
STON1-GTF2A1L,False
GTF2A1L,False
LHCGR,False
AC009975.1,False
FSHR,False
AC009975.2,False
AC009971.1,False
NRXN1,False
AC068725.1,False
AC009234.1,False
AC007682.1,False
AC007402.1,True
AC007402.2,False
AC079304.1,False
LINC01867,False
AC139712.3,False
AC010967.1,False
AC010967.2,False
ASB3,False
CHAC2,False
ERLEC1,False
GPR75,False
PSME4,False
ACYP2,False
AC008280.3,False
TSPYL6,False
C2orf73,True
SPTBN1,False
AC092839.1,False
AC092839.2,False
AC093110.1,False
EML6,True
AC104781.1,False
AC104781.2,False
RTN4,False
CLHC1,False
AC012358.1,False
RPS27A,False
MTIF2,False
AC012358.3,False
CCDC88A,False
CFAP36,False
PPP4R3B,False
AC015982.2,False
PNPT1,False
EFEMP1,True
AC011306.1,False
MIR217HG,False
LINC01813,False
AC007743.1,False
CCDC85A,False
AC132153.1,True
VRK2,False
AC068193.1,False
FANCL,False
AC007250.1,False
LINC01795,False
LINC01122,True
LINC01793,False
AC007100.1,False
AC007179.2,False
AC007179.1,False
AC007100.2,False
AC007132.1,False
AC007381.1,True
AC007381.2,False
BCL11A,True
AC009970.1,False
PAPOLG,False
LINC01185,False
REL,False
AC010733.2,False
PUS10,False
PEX13,False
KIAA1841,False
AC016747.1,False
C2orf74,False
AC016747.2,False
USP34,False
AC016747.3,False
AC016727.1,False
XPO1,False
AC016727.3,False
FAM161A,False
CCT4,False
AC107081.2,False
AC107081.4,False
COMMD1,False
AC018462.1,False
B3GNT2,False
AC093159.1,False
TMEM17,False
AC092155.1,False
EHBP1,False
AC092567.2,False
AC092567.1,False
AC007098.1,False
OTX1,False
AC009501.3,False
WDPCP,False
MDH1,False
UGP2,False
VPS54,False
AC012368.2,False
PELI1,True
AC012368.1,True
LINC00309,False
AC114752.1,False
AC114752.2,False
LGALSL-DT,False
LGALSL,False
LINC01805,False
AC008074.2,False
AFTPH,False
LINC02579,False
SERTAD2,False
AC007365.1,False
AC007880.1,False
LINC01800,True
LINC02245,False
SLC1A4,True
LINC02576,False
CEP68,False
RAB1A,False
ACTR2,False
SPRED2,False
AC012370.1,False
AC007389.1,False
AC012370.2,False
AC007389.3,False
AC007389.5,False
AC118345.1,False
AC092669.1,False
LINC01873,False
MEIS1-AS3,False
MEIS1,False
MEIS1-AS2,False
LINC01798,False
LINC01797,False
LINC01799,False
LINC01628,False
AC007403.1,False
LINC01828,False
LINC01829,False
AC023115.1,False
ETAA1,False
LINC02831,False
AC007422.1,False
AC010987.1,False
LINC01812,False
C1D,False
WDR92,False
PNO1,False
PPP3R1,False
AC017083.2,False
AC017083.1,False
CNRIP1,True
AC015969.1,False
PLEK,False
FBXO48,False
APLF,False
PROKR1,False
ARHGAP25,False
LINC01890,False
LINC01888,False
BMP10,False
GKN2,False
GKN1,False
ANTXR1,False
AC114802.1,False
GFPT1,False
NFU1,False
AAK1,False
ANXA4,False
AC092431.1,False
GMCL1,False
SNRNP27,False
MXD1,False
ASPRV1,False
PCBP1-AS1,False
PCBP1,False
AC016700.3,False
LINC01816,True
C2orf42,False
TIA1,False
PCYOX1,False
SNRPG,False
FAM136A,False
AC022201.2,False
AC022201.1,False
TGFA,False
TGFA-IT1,False
ADD2,True
AC005234.2,False
AC005234.1,False
FIGLA,False
CLEC4F,False
CD207,False
LINC01143,False
VAX2,False
ATP6V1B1,False
ANKRD53,False
TEX261,False
AC007040.1,False
AC007881.2,False
NAGK,False
AC007881.3,False
MCEE,True
AC007881.4,False
MPHOSPH10,False
PAIP2B,False
ZNF638,False
AC007878.1,False
DYSF,True
CYP26B1,False
EXOC6B,False
SPR,False
EMX1,False
AC012366.1,False
SFXN5,False
RAB11FIP5,False
AC010913.1,False
NOTO,False
SMYD5,False
PRADC1,False
CCT7,False
FBXO41,False
EGR4,False
AC069404.1,False
AC074008.2,False
ALMS1,False
ALMS1-IT1,False
AC074008.1,False
NAT8,False
TPRKB,False
AC092653.1,False
DUSP11,False
C2orf78,False
AC073046.4,False
STAMBP,False
AC073046.3,False
ACTG2,False
DGUOK,False
DGUOK-AS1,False
AC073046.1,False
TET3,False
AC073263.1,False
BOLA3,False
BOLA3-AS1,False
MOB1A,False
AC073263.2,False
MTHFD2,False
SLC4A5,False
DCTN1,False
DCTN1-AS1,False
C2orf81,False
AC005041.4,False
WDR54,False
RTKN,False
INO80B,False
WBP1,False
MOGS,False
AC005041.5,False
MRPL53,False
CCDC142,False
TTC31,False
LBX2,False
AC005041.3,False
LBX2-AS1,False
PCGF1,False
TLX2,False
DQX1,False
AUP1,False
HTRA2,False
LOXL3,False
DOK1,False
M1AP,False
SEMA4F,False
AC007387.3,False
AC007387.2,False
AC019069.1,False
HK2,False
LINC01291,False
AC104135.1,False
LINC01293,True
POLE4,False
TACR1,True
AC007681.1,True
EVA1A,False
AC007099.2,False
AC007099.1,False
MRPL19,False
GCFC2,True
AC005034.3,False
AC005034.5,False
AC005034.2,False
AC005034.6,False
AC005034.4,True
AC110614.1,False
AC073091.3,False
AC073091.4,False
AC068616.2,False
AC068616.3,False
AC068616.1,False
LRRTM4,False
AC079117.2,False
AC079117.1,False
AC013716.1,False
AC012494.1,False
AC084149.1,False
LINC01851,False
AC012494.2,False
AC092660.1,False
AC092604.1,True
REG3G,False
REG1B,False
REG1A,False
REG3A,False
AC011754.1,False
CTNNA2,False
AC011754.2,False
AC010975.1,False
AC016716.2,False
LRRTM1,False
AC008067.1,False
AC012355.1,False
LINC01815,False
AC079896.1,False
AC010105.1,False
AC098817.1,False
LINC01809,False
AC106874.1,False
SUCLG1,False
DNAH6,True
TRABD2A,False
TMSB10,False
AC022210.2,True
KCMF1,False
LINC01964,False
TCF7L1,False
TCF7L1-IT1,False
TGOLN2,False
RETSAT,False
ELMOD3,False
AC062037.2,False
CAPG,False
AC062037.3,False
SH2D6,False
PARTICL,False
MAT2A,False
GGCX,False
VAMP8,False
VAMP5,False
RNF181,False
TMEM150A,False
USP39,False
C2orf68,False
SFTPB,False
GNLY,True
ATOH8,False
AC105053.1,False
ST3GAL5,False
ST3GAL5-AS1,False
AC012511.1,False
AC012511.2,False
POLR1A,False
PTCD3,False
IMMT,False
AC009309.1,False
MRPL35,False
REEP1,True
KDM3A,False
CHMP3,False
AC015971.1,False
RNF103,False
RMND5A,False
CD8A,True
CD8B,True
RGPD1,False
PLGLB1,False
AC092651.3,False
LINC01955,False
AC068279.2,False
IGKV3OR2-268,False
LINC01943,False
CYTOR,False
AC133644.2,False
PLGLB2,False
RGPD2,False
AC108479.3,False
KRCC1,False
SMYD1,False
FABP1,False
THNSL2,False
FOXI3,False
TEX37,False
AC104134.1,False
EIF2AK3,False
EIF2AK3-DT,False
AC062029.1,True
RPIA,False
IGKC,True
IGKJ5,False
IGKJ4,False
IGKJ3,False
IGKJ2,True
IGKJ1,False
IGKV4-1,False
IGKV5-2,False
IGKV7-3,False
IGKV2-4,False
IGKV1-5,False
IGKV1-6,False
IGKV3-7,False
IGKV1-8,False
IGKV1-9,False
IGKV2-10,False
IGKV3-11,True
IGKV1-12,False
IGKV1-13,False
IGKV2-14,False
IGKV3-15,False
IGKV1-16,False
IGKV1-17,False
IGKV2-18,False
IGKV2-19,False
IGKV3-20,False
IGKV6-21,False
IGKV1-22,False
IGKV2-23,False
IGKV2-24,False
IGKV3-25,False
IGKV2-26,False
IGKV1-27,False
IGKV2-28,False
IGKV2-29,False
IGKV2-30,True
IGKV3-31,False
IGKV1-32,False
IGKV1-33,False
IGKV3-34,False
IGKV1-35,False
IGKV2-36,False
IGKV1-37,False
IGKV2-38,False
IGKV1-39,False
IGKV2-40,False
IGKV2D-40,False
IGKV1D-39,False
IGKV2D-38,False
IGKV1D-37,False
IGKV2D-36,False
IGKV1D-35,False
IGKV3D-34,False
IGKV1D-33,False
IGKV1D-32,False
IGKV3D-31,False
IGKV2D-30,False
IGKV2D-29,False
IGKV2D-28,False
IGKV1D-27,False
IGKV2D-26,False
IGKV3D-25,False
IGKV2D-24,False
IGKV2D-23,False
IGKV1D-22,False
IGKV6D-21,False
IGKV3D-20,False
IGKV2D-19,False
IGKV2D-18,False
IGKV6D-41,False
IGKV1D-17,False
IGKV1D-16,True
IGKV3D-15,False
IGKV2D-14,False
IGKV1D-13,False
IGKV1D-12,False
IGKV3D-11,False
IGKV2D-10,False
IGKV1D-42,False
IGKV1D-43,False
IGKV1D-8,False
IGKV3D-7,False
IGKV1OR2-118,False
AC233263.6,False
AC233266.2,False
AC027612.5,False
IGKV1OR2-1,False
AL845331.2,False
TEKT4,False
AC103563.7,False
MAL,True
AC103563.2,False
AC103563.9,True
MRPS5,False
ZNF514,False
ZNF2,False
AC092835.1,False
PROM2,False
KCNIP3,False
FAHD2A,False
TRIM43B,False
AC009237.14,False
AC009237.15,False
TRIM43,False
AC008268.1,False
LINC00342,True
ANKRD36C,False
GPAT2,False
ADRA2B,False
ASTL,False
DUSP2,True
AC012307.1,False
STARD7,False
STARD7-AS1,False
TMEM127,False
CIAO1,False
SNRNP200,False
AC021188.1,False
ITPRIPL1,False
NCAPH,False
NEURL3,False
AC013270.1,False
ARID5A,False
KANSL3,False
FER1L5,False
LMAN2L,False
CNNM4,False
CNNM3-DT,False
CNNM3,False
ANKRD23,False
ANKRD39,False
SEMA4C,False
FAM178B,False
AC092636.1,False
IGKV2OR2-1,False
IGKV2OR2-2,False
IGKV1OR2-3,False
FAHD2B,False
ANKRD36,False
AC159540.2,False
AC159540.1,False
IGKV1OR2-9,False
IGKV2OR2-10,False
IGKV2OR2-7D,False
IGKV3OR2-5,False
IGKV1OR2-6,False
IGKV2OR2-7,False
IGKV2OR2-8,False
IGKV1OR2-11,False
AC092683.1,False
AC092683.2,False
ANKRD36B,False
AC017099.2,False
COX5B,False
ACTR1B,False
C2orf92,False
ZAP70,False
TMEM131,False
VWA3B,False
AC092675.1,False
CNGA3,False
AC092675.2,False
INPP4A,False
COA5,False
UNC50,False
MGAT4A,False
LINC02611,False
KIAA1211L,False
TSGA10,False
C2orf15,False
AC079447.1,True
LIPT1,False
MITD1,False
MRPL30,False
LYG2,False
LYG1,False
TXNDC9,False
EIF5B,False
REV1,False
AC018690.1,False
AFF3,True
AC092667.1,False
LINC01104,False
LONRF2,False
CHST10,False
NMS,False
PDCL3,False
LINC01849,False
AC092845.1,False
LINC01868,False
AC092168.1,False
AC092168.3,False
NPAS2,False
AC092168.2,False
AC016738.2,False
AC016738.1,False
RPL31,False
TBC1D8,True
TBC1D8-AS1,False
CNOT11,False
RNF149,False
CREG2,False
RFX8,False
LINC01870,False
AC093894.1,False
AC093894.2,False
MAP4K4,False
LINC01127,False
IL1R2,False
AC007271.1,False
IL1R1,False
IL1R1-AS1,False
IL1RL2,False
IL1RL1,False
IL18R1,False
IL18RAP,True
AC007278.2,False
AC007278.1,False
SLC9A4,False
SLC9A2,False
MFSD9,True
TMEM182,True
LINC01796,False
LINC01935,False
AC108051.1,False
AC073987.1,False
AC011593.1,False
AC013727.1,False
AC013727.2,False
LINC01965,False
AC096554.1,False
AC068535.1,False
LINC01831,False
AC068535.2,False
LINC01102,False
LINC01103,False
AC013402.2,False
AC013402.3,False
PANTR1,False
AC013402.1,False
AC068057.1,False
LINC01114,False
AC018730.1,False
POU3F3,False
LINC01159,False
AC010884.2,False
AC010884.1,True
MRPS9,False
AC104655.1,False
LINC01918,False
GPR45,False
AC012360.2,False
TGFBRAP1,False
AC012360.1,False
AC012360.3,False
C2orf49,False
FHL2,False
AC108058.1,False
AC018802.1,False
AC018802.2,False
NCK2,False
AC010978.1,False
AC009505.1,False
ECRG4,False
UXS1,False
AC018878.1,False
RGPD3,False
CD8B2,False
AC108868.2,False
AC108868.1,False
ST6GAL2,False
ST6GAL2-IT1,False
AC016994.1,False
AC005040.2,False
LINC01789,False
AC096669.1,False
LINC01885,False
LINC01886,False
AC064869.1,False
GACAT1,False
RGPD4-AS1,False
RGPD4,False
SLC5A7,False
LINC01593,False
LINC01594,False
SULT1C3,False
SULT1C2,False
SULT1C4,False
GCC2,False
GCC2-AS1,False
LIMS1,False
LIMS1-AS1,False
RANBP2,False
CCDC138,True
EDAR,True
SH3RF3-AS1,True
SH3RF3,True
SEPTIN10,False
AC011753.2,False
SOWAHC,False
AC074387.1,False
RGPD5,False
LIMS3,False
LINC01123,False
MALL,False
NPHP1,False
MTLN,False
LINC01106,False
LIMS4,False
AC112229.2,False
RGPD6,False
AC226101.1,False
BUB1,False
AC114776.1,False
ACOXL,True
MIR4435-2HG,True
ACOXL-AS1,False
BCL2L11,False
AC108463.2,False
AC108463.3,False
AC068491.2,False
AC068491.3,False
AC017002.6,False
AC017002.5,False
AC017002.3,False
AC017002.1,False
AC017002.2,False
ANAPC1,False
MERTK,False
AC093675.1,False
TMEM87B,False
AC093675.2,False
FBLN7,False
ZC3H8,False
AC092645.2,False
ZC3H6,False
RGPD8,False
TTL,False
POLR1B,False
CHCHD5,False
AC012442.2,False
AC012442.1,True
AC079922.2,False
SLC20A1,False
NT5DC4,False
CKAP2L,False
IL1A,False
AC079753.2,False
IL1B,True
IL37,False
IL36G,False
IL36A,False
IL36B,False
IL36RN,False
IL1F10,False
IL1RN,False
PSD4,False
AC016683.1,True
PAX8-AS1,False
PAX8,False
AC016745.1,False
IGKV1OR2-108,False
AC016745.2,False
CBWD2,False
FOXD4L1,False
LINC01961,False
PGM5P4-AS1,False
FAM138B,False
AL078621.4,False
RABL2A,False
AC017074.2,False
AC017074.1,False
SLC35F5,False
AC104653.2,False
AC104653.1,False
AC110769.2,False
ACTR3,False
LINC01191,True
AC110769.1,False
AC010982.2,False
AC010982.1,False
DPP10,False
DPP10-AS3,False
DPP10-AS2,False
AC093610.1,False
DPP10-AS1,False
AC016721.1,False
AC064856.1,False
AC009312.1,False
DDX18,False
AC009404.1,False
CCDC93,False
AC009303.2,False
AC009303.3,False
INSIG2,False
THORLNC,False
LINC01956,False
EN1,False
MARCO,False
AC013457.1,False
C1QL2,False
STEAP3,False
STEAP3-AS1,True
C2orf76,False
DBI,False
TMEM37,False
SCTR,False
AC013275.1,False
CFAP221,False
TMEM177,False
PTPN4,False
EPB41L5,False
AC012363.1,False
TMEM185B,False
RALB,False
AC012363.2,False
INHBB,False
AC073257.2,False
AC073257.1,False
AC018866.1,False
GLI2,False
AC017033.1,False
AC067960.1,False
AC079988.1,False
TFCP2L1,False
CLASP1,False
AC012447.1,False
NIFK-AS1,False
NIFK,False
TSN,False
LINC01823,False
AC011246.1,False
AC073632.1,False
AC062020.1,False
LINC01826,False
AC073409.2,False
AC073409.1,False
AC079154.1,False
CNTNAP5,False
AC019159.2,False
AC097499.2,False
LINC01889,False
LINC01941,False
AC142116.2,False
AC023347.1,False
GYPC,False
TEX51,False
AC012508.2,False
AC012508.3,False
AC012508.1,False
BIN1,False
AC110926.2,False
CYP27C1,False
ERCC3,False
AC068282.1,False
MAP3K2,False
MAP3K2-DT,False
AC068282.2,False
PROC,False
IWS1,False
AC010976.1,False
MYO7B,False
AC010976.2,False
LIMS2,True
GPR17,False
WDR33,False
SFT2D3,False
POLR2D,False
AMMECR1L,False
AC012306.2,False
AC012306.3,False
SAP130,False
UGGT1,False
HS6ST1,False
AC012451.1,False
AC068483.1,False
LINC01854,False
LINC02572,False
AC079776.5,False
LINC01856,False
RAB6C,False
POTEF,False
AC018865.1,False
CCDC74B,False
SMPD4,False
MZT2B,False
TUBA3E,False
CCDC115,False
IMP4,False
PTPN18,False
POTEI,False
AC013269.2,False
CFC1B,False
AC013269.1,False
AC140481.2,True
CFC1,False
POTEJ,False
GPR148,False
AC140481.1,False
AMER3,False
AC133785.1,False
ARHGEF4,False
SMIM39,False
FAM168B,False
PLEKHB2,False
POTEE,False
RAB6D,False
AC073869.5,False
LINC01120,False
AC073869.3,False
MZT2A,False
TUBA3D,False
CCDC74A,False
AC093838.1,False
LINC01087,False
C2orf27A,False
AC103564.1,False
AJ239322.2,False
AJ239322.1,False
LINC01945,False
AC093787.2,False
ANKRD30BL,False
AC097532.1,False
AC097532.2,False
AC097532.3,False
GPR39,True
LYPD1,False
AC010974.1,False
NCKAP5,False
AC010974.2,False
NCKAP5-AS1,False
NCKAP5-AS2,False
NCKAP5-IT1,False
AC011243.1,False
AC092623.1,False
MGAT5,False
TMEM163,False
AC110620.2,False
CCNT2-AS1,True
ACMSD,False
CCNT2,False
MAP3K19,False
RAB3GAP1,False
ZRANB3,False
R3HDM1,False
